City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
114,Bairnsdale,AU,-37.8333,147.6167,52.95,90,1,2.8,clear sky
115,Lorengau,PG,-2.0226,147.2712,81.72,78,100,6.08,overcast clouds
116,Lebu,CL,-37.6167,-73.65,60.75,70,45,16.62,scattered clouds
117,Bobo Dioulasso,BF,11.1771,-4.2979,92.84,10,20,5.19,few clouds
118,Kindu,CD,-2.95,25.95,71.51,96,100,1.68,light rain
119,Hobyo,SO,5.3505,48.5268,80.96,66,13,19.13,few clouds
120,Dongsheng,CN,39.8161,109.9776,19.92,50,1,21.43,clear sky
121,Cabo San Lucas,MX,22.8909,-109.9124,78.24,62,74,0.16,broken clouds
122,Muzhi,RU,65.3667,64.6667,-9.08,100,75,4.65,broken clouds
123,Lavrentiya,RU,65.5833,-171.0,-11.27,90,17,8.55,few clouds
124,Narodychi,UA,51.2029,29.0823,43.07,89,100,15.59,overcast clouds
125,Padang,ID,-0.9492,100.3543,76.91,86,89,3.15,overcast clouds
126,Acarau,BR,-2.8856,-40.12,89.26,55,32,18.68,scattered clouds
127,Foumban,CM,5.7291,10.9001,72.19,44,29,2.98,scattered clouds
128,Mar Del Plata,AR,-38.0023,-57.5575,63.88,79,78,22.62,broken clouds
129,Tasiilaq,GL,65.6145,-37.6368,22.19,93,100,12.3,light snow
130,Qazanbulaq,AZ,40.6192,46.6519,59.72,48,1,6.2,clear sky
131,Kampene,CD,-3.6,26.6667,70.7,97,100,0.87,light rain
132,Aurillac,FR,44.9167,2.45,25.03,93,75,2.89,broken clouds
133,Bonavista,CA,48.6499,-53.1147,43.99,75,54,12.41,broken clouds
134,Cayenne,GF,4.9333,-52.3333,82.56,77,71,8.55,broken clouds
135,Varginha,BR,-21.5514,-45.4303,84.34,39,97,5.77,overcast clouds
136,Port Blair,IN,11.6667,92.75,80.49,81,87,11.63,overcast clouds
137,Grao Mogol,BR,-16.5594,-42.8897,81.54,57,92,6.44,overcast clouds
138,Te Anau,NZ,-45.4167,167.7167,45.93,85,7,1.05,clear sky
139,Mutis,CO,6.2262,-77.4044,81.7,82,90,8.01,light rain
140,Huarmey,PE,-10.0681,-78.1522,72.09,74,64,11.36,broken clouds
141,Zhuhai,CN,22.2769,113.5678,72.3,58,4,6.89,clear sky
142,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,65.57,94,92,12.86,overcast clouds
143,Opuwo,NA,-18.0607,13.84,86.14,21,98,13.58,overcast clouds
144,Yulara,AU,-25.2406,130.9889,74.35,27,1,8.01,clear sky
145,Dingle,PH,10.9995,122.6711,75.74,92,63,6.04,light rain
146,Bhatkal,IN,13.9667,74.5667,77.72,85,87,7.0,overcast clouds
147,Harqalah,TN,36.0303,10.509,53.76,51,62,25.41,broken clouds
148,Tabuk,PH,17.4189,121.4443,73.02,95,48,1.86,scattered clouds
149,Pochutla,MX,15.7432,-96.4661,86.36,47,13,5.19,few clouds
150,Avarua,CK,-21.2078,-159.775,73.67,63,80,7.99,broken clouds
151,Kaitangata,NZ,-46.2817,169.8464,48.74,84,67,4.99,broken clouds
152,Cherskiy,RU,68.75,161.3,-15.84,98,100,5.53,overcast clouds
153,Urumqi,CN,43.801,87.6005,21.94,61,4,10.38,clear sky
154,Iralaya,HN,15.0,-83.2333,81.99,64,100,15.88,overcast clouds
155,Bakel,SN,14.905,-12.4568,95.83,13,34,10.27,scattered clouds
156,Upernavik,GL,72.7868,-56.1549,18.86,92,100,7.92,light snow
157,Fruitvale,US,39.0817,-108.4968,52.29,34,0,3.38,clear sky
158,Torbay,CA,47.6666,-52.7314,46.0,73,26,8.86,scattered clouds
159,Chuy,UY,-33.6971,-53.4616,65.32,95,95,11.1,overcast clouds
160,Union,US,40.6334,-74.2663,41.63,47,15,10.11,few clouds
161,Lagoa,PT,39.05,-27.9833,60.51,54,41,3.69,scattered clouds
162,Shubarshi,KZ,48.5872,57.1869,18.14,86,5,4.9,clear sky
163,Buala,SB,-8.145,159.5921,80.4,82,99,4.61,light rain
164,Winchester,GB,51.0651,-1.3187,33.84,86,98,6.38,overcast clouds
165,Ribeira Grande,PT,38.5167,-28.7,62.31,55,91,3.02,overcast clouds
166,Hilo,US,19.7297,-155.09,71.08,73,15,10.98,light rain
167,Orchard Homes,US,46.8633,-114.0484,46.53,70,100,1.83,overcast clouds
168,Mae Hong Son,TH,19.3003,97.9685,68.18,84,40,2.37,scattered clouds
169,Iqaluit,CA,63.7506,-68.5145,22.14,81,100,10.45,overcast clouds
170,Acajutla,SV,13.5928,-89.8275,88.57,46,0,6.06,clear sky
171,Goderich,CA,43.7501,-81.7165,35.98,72,95,13.87,overcast clouds
172,Hermanus,ZA,-34.4187,19.2345,65.37,74,35,18.5,scattered clouds
173,San Jeronimo,PE,-11.9472,-75.2829,56.07,69,100,4.41,overcast clouds
174,Clyde River,CA,70.4692,-68.5914,-3.98,83,99,3.98,overcast clouds
175,Takoradi,GH,4.8845,-1.7554,82.72,74,39,10.85,scattered clouds
176,Synya,RU,65.3718,58.0387,10.92,95,100,6.04,light snow
177,Wattegama,LK,6.7989,81.4808,73.24,94,83,1.68,broken clouds
178,Mount Isa,AU,-20.7333,139.5,83.21,18,62,16.91,light rain
